"Identifiant action de formation";"Enseignements optionnels et langues de classe de 2nde GT";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.65093;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Arts : théâtre / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12642;0430947W;"Lycée général et technologique Léonard de Vinci";"Le Mazel";"BP 61";43120;Monistrol-sur-Loire;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;06/06/2020
AF.53750;"Arts : arts plastiques / Arts : musique / Culture et pratique de la danse / Culture et pratique de la musique / Espagnol / Portugais / Russe / Chinois / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3502;0510032H;"Lycée Jean Jaurès";"17 rue Ruinart de Brimont";"BP 10338";51062;Reims;Marne;"Grand Est";Reims;06/06/2020;06/06/2020
AF.25009;"Arts : arts plastiques / Arts : théâtre / Atelier artistique / Biotechnologies / Espagnol / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences et laboratoire / LV1 : allemand, anglais, espagnol / LV2 : allemand, anglais, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15670;0350774B;"Lycée Saint-Sauveur";"16 place Saint-Sauveur";;35600;Redon;Ille-et-Vilaine;Bretagne;Rennes;06/06/2020;08/03/2023
AF.65113;"Création et innovation technologiques / Éducation physique et sportive / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17793;0860005N;"Lycée Édouard Branly";"2 rue Édouard Branly";"BP 613";86106;Châtellerault;Vienne;Nouvelle-Aquitaine;Poitiers;06/06/2020;27/02/2025
AF.70937;"Arts : arts plastiques / Éducation physique et sportive / Langue des signes française / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8519;0440175B;"Lycée privé Gabriel Deshayes";"4 route de Redon";;44530;Saint-Gildas-des-Bois;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;20/02/2024
AF.47956;"Arts : arts plastiques / Arts : danse / Arts : musique / Espagnol / Turc / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, arabe, portugais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14239;0680031P;"Lycée Albert Schweitzer";"8 boulevard de la Marne";"BP 2269";68068;Mulhouse;Haut-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.88329;"Arts : arts plastiques / Biotechnologies / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4640;0880019T;"Lycée Louis Lapicque";"5 rue Nicolas Bellot";;88000;Épinal;Vosges;"Grand Est";Nancy-Metz;06/06/2020;26/03/2024
AF.4247;"Arts : théâtre / Création et innovation technologiques / Éducation physique et sportive / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15432;0880021V;"Lycée des métiers de la conception, de l'automatique et de l'énergie Pierre Mendès France";"2 rue du Haut des Etages";;88021;Épinal;Vosges;"Grand Est";Nancy-Metz;06/06/2020;06/02/2023
AF.35083;"Écologie, agronomie, territoires, développement durable / Management et gestion / LV1 : anglais / LV2 : espagnol, tahitien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2612;9840277D;"Lycée professionnel agricole de Opunohu";"Route du belvédère, Papetoai";"BP 4";98728;"Moorea maiao";"Polynésie française";"Collectivités d'outre-mer";"Collectivités d'Outre Mer";06/06/2020;06/06/2020
AF.91037;"Création et innovation technologiques / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15155;0932119Y;"Lycée polyvalent Eugène Henaff";"55 avenue Raspail";;93170;Bagnolet;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;12/02/2025
AF.76674;"Biotechnologies / Management et gestion / Santé et social / LV1 : anglais / LV2 : espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10245;0132828D;"Lycée polyvalent La Cadenelle";"134 boulevard des Libérateurs, Les Caillols";;13012;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.101899;"Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / Sciences de l'ingénieur / LV1 : anglais, espagnol, allemand / LV2 : anglais, espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.22289;0313083H;"Lycée polyvalent Simone de Beauvoir";"1185 route des Coteaux";;31380;Gragnague;Haute-Garonne;Occitanie;Toulouse;14/12/2021;16/01/2025
AF.59441;"Arabe / Italien / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, persan / LV2 : allemand, espagnol, italien, persan, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5828;0590116F;"Lycée Fénelon";"27 rue Alexandre Leleux";"BP 2028";59013;Lille;Nord;Hauts-de-France;Lille;06/06/2020;16/02/2026
AF.59414;"Arts : arts plastiques / Création et innovation technologiques / Éducation physique et sportive / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : allemand, anglais / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1281;0220058U;"Lycée polyvalent Chaptal";"6 allée Chaptal";;22000;Saint-Brieuc;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;13/04/2022
AF.2136;"Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Portugais / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9122;0770940D;"Lycée polyvalent Étienne Bezout";"31 avenue Étienne Dailly";;77140;Nemours;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.88379;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques physiques et sportives / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6454;0541207U;"Lycée agricole Mathieu de Dombasle de Meurthe-et-Moselle";"Domaine de Pixérécourt";;54220;Malzéville;Meurthe-et-Moselle;"Grand Est";Nancy-Metz;06/06/2020;30/01/2024
AF.71045;"Japonais / Italien / LV1 : anglais, espagnol / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12279;0142107P;"Lycée Charles de Gaulle";"39 rue d'Hastings";"BP 56102";14063;Caen;Calvados;Normandie;Normandie;06/06/2020;21/02/2022
AF.53779;"Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12560;0922249V;"Lycée Montesquieu";"23 rue du Capitaine Facq";;92350;"Le Plessis-Robinson";Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.88337;"Arts : arts plastiques / Arts : histoire des arts / Arts : musique / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7134;0690533E;"Lycée de la Trinité";"31 rue de Sèze";;69006;Lyon;Rhône;Auvergne-Rhône-Alpes;Lyon;06/06/2020;19/03/2025
AF.47873;"Arts : arts plastiques / Italien / Anglais / Espagnol / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4173;0931272C;"Lycée Gustave Eiffel";"16 chemin de la Renardière";;93220;Gagny;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;13/02/2025
AF.26866;"Arts : théâtre / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.968;0951937P;"Lycée Paul-Émile Victor";"116 rue de Livilliers";;95520;Osny;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.70896;"Biotechnologies / Création et innovation technologiques / Éducation physique et sportive / Management et gestion / Santé et social / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4632;0410693F;"Campus la Providence";"23 rue des Saintes-Maries";;41002;Blois;Loir-et-Cher;"Centre-Val de Loire";Orléans-Tours;06/06/2020;20/03/2024
AF.30885;"Arts : musique / Arts : théâtre / Chinois / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Sciences et laboratoire / LV1 : anglais, espagnol / LV2 : espagnol, anglais, allemand, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10131;0090015T;"Lycée polyvalent Pyrène";"2 place du Mercadal";"BP 30178";9104;Pamiers;Ariège;Occitanie;Toulouse;06/06/2020;13/02/2025
AF.15560;"Arts : arts plastiques / Éducation physique et sportive / Espagnol / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6369;0680068E;"Lycée polyvalent Louise Weiss";"5 route du Stade";;68160;Sainte-Marie-aux-Mines;Haut-Rhin;"Grand Est";Strasbourg;06/06/2020;09/01/2024
AF.59520;"Biotechnologies / Création et innovation technologiques / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13594;0501219D;"Lycée polyvalent Curie-Corot";"377 rue de l'Exode";"BP 290";50010;Saint-Lô;Manche;Normandie;Normandie;06/06/2020;06/06/2020
AF.7860;"Écologie, agronomie, territoires, développement durable / Hippologie et équitation / Pratiques professionnelles / Pratiques sociales et culturelles / LV1 : anglais, espagnol / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6812;0110678C;"Lycée privé  Saint-Joseph Limoux";"Avenue André Chénier";"BP 97";11303;Limoux;Aude;Occitanie;Montpellier;06/06/2020;25/02/2026
AF.89857;"Arts : histoire des arts / Espagnol / Italien / Management et gestion / LV1 : espagnol, anglais, allemand, italien / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14070;0681793E;"Lycée polyvalent privé Saint-Joseph de Cluny";"53 avenue Roger Salengro";;68100;Mulhouse;Haut-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.13444;"Arts : théâtre / Création et innovation technologiques / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2726;0801874C;"Lycée Saint-Riquier";"50 chaussée Jules Ferry";;80094;Amiens;Somme;Hauts-de-France;Amiens;06/06/2020;05/11/2025
AF.76546;"Arts : théâtre / Création et innovation technologiques / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6302;0570058D;"Lycée Louis Vincent";"1 rue de Verdun";;57000;Metz;Moselle;"Grand Est";Nancy-Metz;06/06/2020;25/02/2022
AF.88307;"Arts : arts plastiques / Arts : musique / Création et innovation technologiques / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8647;0762880T;"Lycée Raymond Queneau";"Rue du Docteur Zamenhof";"BP 143";76194;Yvetot;Seine-Maritime;Normandie;Normandie;06/06/2020;06/06/2020
AF.53641;"Arts : arts plastiques / Italien / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9460;0810075S;"Lycée général privé Saint-Joseph de l'Apparition";"10 boulevard Gambetta";;81600;Gaillac;Tarn;Occitanie;Toulouse;06/06/2020;14/10/2024
AF.42207;"Éducation physique et sportive / Italien / Langues et cultures de l'Antiquité : latin / LV1 : anglais, allemand / LV2 : anglais, allemand, espagnol, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8203;0211909L;"Lycée général et technologique Jean-Marc Boivin";"4 bis route de Dijon";"BP 9";21806;Chevigny-Saint-Sauveur;Côte-d'Or;Bourgogne-Franche-Comté;Dijon;06/06/2020;02/06/2021
AF.59438;"Arts : arts plastiques / Éducation physique et sportive / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7208;0440012Z;"Lycée Grand Air";"12 avenue de Tréméac";"BP 123";44503;"La Baule-Escoublac";Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;06/06/2020
AF.76721;"Arts : arts plastiques / Arts : cinéma-audiovisuel / Langues et cultures de l'Antiquité : latin / Management et gestion / Russe / Arabe / Santé et social / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand, russe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6099;0330088S;"Lycée Max Linder";"43 allée Robert Boulin";"BP 217";33505;Libourne;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;09/02/2021
AF.25048;"Espagnol / Portugais / Italien / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12247;0540039Z;"Lycée Jeanne d'Arc";"16 rue Pierre Fourier";;54000;Nancy;Meurthe-et-Moselle;"Grand Est";Nancy-Metz;06/06/2020;06/06/2020
AF.88498;"Arts : cinéma-audiovisuel / Langues et cultures de l'Antiquité : latin / Santé et social / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5399;0310024H;"Lycée polyvalent Pierre d'Aragon";"14 avenue Henri Peyrusse";"BP 70316";31605;Muret;Haute-Garonne;Occitanie;Toulouse;06/06/2020;21/01/2025
AF.65123;"Espagnol / Chinois / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / LV1 : anglais / LV2 : espagnol, allemand, chinois, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10562;0761718E;"Lycée général privé Rey";"4342 route de Neufchâtel";;76230;Bois-Guillaume;Seine-Maritime;Normandie;Normandie;06/06/2020;16/03/2022
AF.38421;"Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / Management et gestion / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9311;0781974X;"Lycée Saint-Exupéry";"11 rue Michaël Faraday";;78180;Montigny-le-Bretonneux;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.59473;"Arts : arts plastiques / Arts : théâtre / Chinois / Italien / Éducation physique et sportive / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : allemand, anglais / LV2 : allemand, anglais, chinois, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9237;0240025X;"Lycée Laure Gatet";"25 avenue Georges Pompidou";"BP 80089";24003;Périgueux;Dordogne;Nouvelle-Aquitaine;Bordeaux;06/06/2020;06/06/2020
AF.7924;"Arts : histoire des arts / Arts : théâtre / Italien / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences et laboratoire / LV1 : anglais, allemand / LV2 : espagnol, anglais, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16235;0380091T;"Lycée polyvalent Édouard Herriot";"4 avenue Édouard Herriot";"BP 228";38506;Voiron;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;23/11/2021
AF.19370;"Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Santé et social / Sciences de l'ingénieur / LV1 : anglais / LV2 : espagnol, allemand";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19256;0160022M;"Lycée polyvalent Émile Roux";"30 avenue du Général de Gaulle";;16500;Confolens;Charente;Nouvelle-Aquitaine;Poitiers;06/06/2020;06/06/2020
AF.19315;"Biotechnologies / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10817;0500017X;"Lycée Alexis de Tocqueville";"34 avenue Henri Poincaré";"BP 308";50100;Cherbourg-en-Cotentin;Manche;Normandie;Normandie;06/06/2020;06/06/2020
AF.36592;"Allemand / Chinois / Arts : cinéma-audiovisuel / Création et innovation technologiques / Éducation physique et sportive / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais / LV2 : allemand, espagnol, chinois";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4107;0560182U;"Lycée polyvalent Jeanne d'Arc - Saint-Ivy";"29 rue Abbé Martin";"BP 30019";56306;Pontivy;Morbihan;Bretagne;Rennes;06/06/2020;12/04/2024
AF.82460;"Arts : arts plastiques / Arts : musique / Arts : théâtre / Langues et cultures de l'Antiquité : grec / Langues et cultures de l'Antiquité : latin / Management et gestion / Portugais / Chinois / Italien / Sciences et laboratoire / LV1 : espagnol, anglais, allemand / LV2 : espagnol, anglais, allemand, portugais, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3474;0601824G;"Lycée Jeanne Hachette";"31 boulevard Amyot d'Inville";;60000;Beauvais;Oise;Hauts-de-France;Amiens;06/06/2020;06/06/2020
AF.53787;"Arts : arts plastiques / Italien / Langues et cultures de l'Antiquité : latin / Santé et social / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3053;0631070W;"Lycée général et technologique privé Sainte-Thècle";"7 rue Amélie Murat";"BP 79";63402;Chamalières;Puy-de-Dôme;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;19/11/2021
AF.25006;"Arts : arts plastiques / Création et innovation technologiques / Éducation physique et sportive / Japonais / Breton / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / LV1 : anglais / LV2 : allemand, espagnol, breton";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6438;0290335G;"Lycée polyvalent La Croix Rouge La Salle";"2 rue Mirabeau";"CS 62925";29229;Brest;Finistère;Bretagne;Rennes;06/06/2020;12/04/2024
AF.142026;"LV1 : anglais / LV2 : allemand, espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.23369;0624494Y;"Micro-lycée du lycée Henri Darras";"1 chemin du Marquage";"BP 134";62800;Liévin;Pas-de-Calais;Hauts-de-France;Lille;25/09/2025;30/09/2025
AF.47992;"Allemand / Arabe / Arts : arts plastiques / Création et innovation technologiques / Langues et cultures de l'Antiquité : latin / Management et gestion / Sciences de l'ingénieur / Sciences et laboratoire / LV1 : anglais / LV2 : espagnol, allemand, arabe";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12622;9760127J;"Lycée Younoussa Bamana";"1 rue du lycée";"BP 46";97600;Mamoudzou;Mayotte;Mayotte;Mayotte;06/06/2020;06/06/2020
