"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.23666;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.16488;0271282X;"Lycée privé Jeanne d'Arc - Saint-Anselme";"11-13 rue Le Prévost de Beaumont";;27300;Bernay;Eure;Normandie;Normandie;06/06/2020;15/02/2021
AF.23672;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11853;0940580V;"Lycée de Cachan";"63 avenue du Président Wilson";;94235;Cachan;Val-de-Marne;Ile-de-France;Créteil;06/06/2020;12/06/2024
AF.23681;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7567;0451526P;"Lycée Charles Péguy";"1 cours Victor Hugo";;45074;Orléans;Loiret;"Centre-Val de Loire";Orléans-Tours;06/06/2020;25/03/2024
AF.23687;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13976;0772277G;"Lycée polyvalent Henri Becquerel";"1 boulevard Henri Rousselle";;77370;Nangis;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.23690;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9220;0141112H;"Lycée agricole Le Robillard";"938 route du Lycée Agricole, Lieury";;14170;Saint-Pierre-en-Auge;Calvados;Normandie;Normandie;06/06/2020;06/06/2020
AF.23697;"sciences économiques et sociales / sciences de l'ingénieur / mathématiques / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques / histoire-géographie, géopolitique et sciences politiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5300;0900004R;"Lycée général et technologique Raoul Follereau";"3 rue Louis Marchal";;90000;Belfort;Territoire-de-Belfort;Bourgogne-Franche-Comté;Besançon;06/06/2020;16/02/2024
AF.23703;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10867;0831444U;"Lycée Sainte Jeanne d'Arc";"Avenue Dreo";;83170;Brignoles;Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;05/04/2022
AF.23713;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1485;0671685T;"Lycée agricole d'Obernai";"44 boulevard de l'Europe";"CS 50203";67212;Obernai;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;06/06/2020
AF.23719;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8442;0790036K;"Lycée Jean Moulin";"1 rue Albert Buisson";"BP 171";79101;Thouars;Deux-Sèvres;Nouvelle-Aquitaine;Poitiers;06/06/2020;13/03/2025
AF.23726;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.844;;"Lycée polyvalent privé Philippine Duchesne - site de Corenc";"118 avenue de l'Eygala";;38700;Corenc;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;06/06/2024
AF.23732;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / humanités, littérature et philosophie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1761;0550047C;"Lycée Saint-Louis";"28 rue Voltaire";;55000;Bar-le-Duc;Meuse;"Grand Est";Nancy-Metz;06/06/2020;19/02/2024
AF.25188;"sciences économiques et sociales / arts : musique / humanités, littérature et philosophie / arts : cinéma - audiovisuel / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / histoire-géographie, géopolitique et sciences politiques / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3091;0900003P;"Lycée général et technologique Gustave Courbet";"Avenue Gambiez";"BP 50804";90020;Belfort;Territoire-de-Belfort;Bourgogne-Franche-Comté;Besançon;06/06/2020;16/02/2024
AF.26759;"histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales / littérature et langues et cultures de l'Antiquité";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8690;;"Lycée général privé Notre Dame de la Galaure (annexe)";"88 rue Geoffroy de Moirans";;26330;Châteauneuf-de-Galaure;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;07/10/2021
AF.28948;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8629;0131341M;"Lycée Notre-Dame de Sion";"231 rue Paradis";;13006;Marseille;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.28958;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7919;0180035R;"Lycée polyvalent Édouard Vaillant";"41 bis rue Charles Hurvoy";;18108;Vierzon;Cher;"Centre-Val de Loire";Orléans-Tours;06/06/2020;07/03/2025
AF.29136;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7825;0753851D;"Lycée privé La Rochefoucauld";"90 bis rue Saint-Dominique";;75007;Paris;Paris;Ile-de-France;Paris;06/06/2020;01/03/2022
AF.29231;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10106;0910831J;"Lycée polyvalent agricole La Salle Igny";"10 avenue de la Division Leclerc";;91430;Igny;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.29330;"humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6707;0690521S;"Lycée Sainte-Marie (annexe du lycée de Lyon)";"Chemin du Couvent";"BP 8";38293;"La Verpillière";Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;03/03/2022
AF.29355;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11900;0711067Z;"Lycée d'enseignement général et technologique agricole de Mâcon-Davayé";"43 rue des Poncétys";;71960;Davayé;Saône-et-Loire;Bourgogne-Franche-Comté;Dijon;06/06/2020;06/06/2020
AF.29372;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.17356;0610018N;"Lycée des Andaines";"3 place du Général de Gaulle";;61600;"La Ferté-Macé";Orne;Normandie;Normandie;06/06/2020;05/02/2021
AF.29381;"sciences économiques et sociales / arts : arts plastiques / arts : musique / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3865;0470001W;"Lycée Bernard Palissy";"164 boulevard de la Liberté";"BP 30291";47007;Agen;Lot-et-Garonne;Nouvelle-Aquitaine;Bordeaux;06/06/2020;07/04/2025
AF.29393;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6917;0370036N;"Lycée Balzac";"36 rue d'Entraigues";"BP 21329";37013;Tours;Indre-et-Loire;"Centre-Val de Loire";Orléans-Tours;06/06/2020;28/04/2025
AF.29398;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14088;0251024C;"Lycée général et technologique privé Les Augustins";"1 rue du faubourg Saint-Étienne";;25300;Pontarlier;Doubs;Bourgogne-Franche-Comté;Besançon;06/06/2020;18/09/2023
AF.29407;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / LLCER espagnol / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2332;;"Lycée Odilon Redon - annexe de Lesparre-Médoc";"Avenue du Docteur Henri Benaben";;33340;Lesparre-Médoc;Gironde;Nouvelle-Aquitaine;Bordeaux;06/06/2020;12/02/2021
AF.29409;"sciences économiques et sociales / mathématiques / physique-chimie / LLCER anglais / humanités, littérature et philosophie / sciences de la vie et de la Terre / histoire-géographie, géopolitique et sciences politiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14011;0740098E;"Lycée général et technologique privé St Joseph";"Ancienne route impériale";;74700;Sallanches;Haute-Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;19/03/2025
AF.29420;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4243;0932036H;"Lycée général privé Françoise Cabrini";"20 rue du Dr Sureau";;93167;Noisy-le-Grand;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;13/05/2025
AF.29426;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3566;0440021J;"Lycée Clemenceau";"1 rue Georges Clemenceau";"CS 74205";44042;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;05/02/2021
AF.29428;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3897;0490834R;"Lycée Notre-Dame d'Orveau";"Allée d'Orveau, Nyoiseau";;49500;Segré-en-Anjou-Bleu;Maine-et-Loire;"Pays de la Loire";Nantes;06/06/2020;10/02/2025
AF.29441;"sciences économiques et sociales / humanités, littérature et philosophie / arts : cinéma - audiovisuel / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12428;0672604S;"Lycée Marc Bloch";"3 allée Blaise Pascal";"BP 55";67803;Bischheim;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;02/02/2026
AF.29447;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10592;0860718N;"Lycée agricole Xavier Bernard - Venours";Venours;;86480;Rouillé;Vienne;Nouvelle-Aquitaine;Poitiers;06/06/2020;25/02/2025
AF.29463;"sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11394;0570087K;"Lycée des métiers et des technologies innovantes Charles Jully";"59 rue du Maréchal Foch";;57500;Saint-Avold;Moselle;"Grand Est";Nancy-Metz;06/06/2020;06/06/2020
AF.29474;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3198;0760029U;"Lycée André Maurois";"1 rue de Lorraine";"CS 80320";76503;Elbeuf;Seine-Maritime;Normandie;Normandie;06/06/2020;22/04/2022
AF.29483;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5141;0771232W;"Lycée Jeanne d'Arc - Saint-Aspais";"18 boulevard Maginot";;77300;Fontainebleau;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.29503;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER espagnol / arts : théâtre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1862;0932030B;"Lycée polyvalent Maurice Utrillo";"152 rue Jean Durand";;93240;Stains;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;24/02/2026
AF.29522;"sciences économiques et sociales / arts : histoire des arts / LLCER espagnol / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER italien";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15235;0831243A;"Lycée Bonaparte";"Avenue Winston Churchill";"BP 5504";83097;Toulon;Var;"Provence-Alpes-Côte d'Azur";Nice;06/06/2020;16/04/2025
AF.29533;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7626;0951147F;"Lycée Fragonard";"3 rue Fragonard";"BP 11020";95290;L'Isle-Adam;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.29540;"sciences économiques et sociales / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10118;0590143K;"Lycée Yves Kernanec";"91 avenue du Docteur Calmette";"BP 92029";59702;Marcq-en-Baroeul;Nord;Hauts-de-France;Lille;06/06/2020;16/02/2026
AF.29544;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6199;0442699V;"Lycée Externat Chavagnes";"31 avenue Camus";;44042;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;12/02/2021
AF.29549;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9595;0131690S;"Lycée d'enseignement privé agricole Fontlongue";"Boulevard Théodore Aubanel";;13148;Miramas;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.29554;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15329;0912364A;"Lycée Nikola Tesla";"15-21 chemin du Champ de Courses";;91410;Dourdan;Essonne;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.29566;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3150;0240032E;"Lycée Arnaut Daniel";"Rue Couleau";;24600;Ribérac;Dordogne;Nouvelle-Aquitaine;Bordeaux;06/06/2020;11/02/2021
AF.29574;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4603;0783350T;"Lycée Saint-Jean et Hulst";"26 rue du Maréchal de Lattre de Tassigny";;78000;Versailles;Yvelines;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.29581;"numérique et sciences informatiques / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.6315;0220111B;"Lycée Saint-Pierre";"16 rue Saint-Pierre";;22000;Saint-Brieuc;Côtes-d'Armor;Bretagne;Rennes;06/06/2020;09/07/2025
AF.29588;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER anglais - monde contemporain / LLCER italien / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5408;0810005R;"Lycée général Bellevue";"98 rue du Roc";;81000;Albi;Tarn;Occitanie;Toulouse;06/06/2020;13/05/2025
AF.29599;"sciences économiques et sociales / arts : arts plastiques / arts : musique / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / arts : danse / LLCER allemand / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.14239;0680031P;"Lycée Albert Schweitzer";"8 boulevard de la Marne";"BP 2269";68068;Mulhouse;Haut-Rhin;"Grand Est";Strasbourg;06/06/2020;02/02/2026
AF.29605;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.5642;0440062D;"Lycée Jean Perrin";"20 rue du Château de Rezé";;44400;Rezé;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;05/02/2021
AF.29615;"LLCER anglais / LLCER anglais - monde contemporain / arts : arts plastiques / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.9563;0730003G;"Lycée polyvalent Marlioz";"2 chemin du lycée";;73100;Aix-les-Bains;Savoie;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;05/02/2021
AF.29616;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10007;0772296C;"Lycée polyvalent de la Mare Carrée";"Rue de la Mare Carrée";"BP 70";77550;Moissy-Cramayel;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.29622;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15894;0170098P;"Lycée privé La Salle Saint-Louis";"73 avenue André Malraux";"BP 16";17250;Pont-l'Abbé-d'Arnoult;Charente-Maritime;Nouvelle-Aquitaine;Poitiers;06/06/2020;13/10/2023
AF.29631;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol / arts : cinéma - audiovisuel";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3958;9740979W;"Lycée polyvalent Jean Hinglo";"2 rue des Sans-Soucis";"BP 2021";97825;"Le Port";"La Réunion";"La Réunion";"La Réunion";06/06/2020;17/02/2025
AF.29649;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13034;0950667J;"Lycée Romain Rolland";"21 avenue de Montmorency";;95190;Goussainville;Val-d'Oise;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.29897;"sciences économiques et sociales / arts : histoire des arts / arts : arts plastiques / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1773;0100059K;"Lycée La Salle";"21 rue du Cloitre Saint-Étienne";;10000;Troyes;Aube;"Grand Est";Reims;06/06/2020;10/03/2021
AF.32930;"sciences économiques et sociales / LLCER espagnol / arts : théâtre / humanités, littérature et philosophie / arts : cinéma - audiovisuel / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.873;0931613Y;"Lycée Louise Michel";"70 avenue Jean Jaurès";;93000;Bobigny;Seine-Saint-Denis;Ile-de-France;Créteil;06/06/2020;06/06/2020
AF.34874;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.877;0770942F;"Lycée polyvalent Thibaut de Champagne";"3 rue du Collège";"BP 213";77487;Provins;Seine-et-Marne;Ile-de-France;Créteil;06/06/2020;06/06/2024
AF.34924;"LLCER anglais / LLCER anglais - monde contemporain / littérature et langues et cultures de l'Antiquité / arts : danse / arts : théâtre / histoire-géographie, géopolitique et sciences politiques / humanités, littérature et philosophie / mathématiques / physique-chimie / sciences de la vie et de la Terre / sciences économiques et sociales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10093;0380028Z;"Lycée général Stendhal";"1 bis place Jean Achard";"BP 80208";38014;Grenoble;Isère;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;24/01/2022
AF.34971;"sciences économiques et sociales / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.10009;0670084C;"Lycée polyvalent Jean Rostand";"5 rue Edmond Labbé";;67084;Strasbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;02/02/2026
AF.34992;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / LLCER anglais - monde contemporain / mathématiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1620;0880153N;"Lycée des métiers du bois André Malraux";"13 rue de l'Epinette";"BP 20160";88200;Remiremont;Vosges;"Grand Est";Nancy-Metz;06/06/2020;10/02/2022
AF.35053;"biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.7251;0260765R;"Lycée d'enseignement général et technologique agricole Le Valentin";"Avenue de Lyon";;26500;Bourg-lès-Valence;Drôme;Auvergne-Rhône-Alpes;Grenoble;06/06/2020;06/06/2020
AF.35061;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.8746;7200073S;"Lycée Jeanne d'Arc";"15 boulevard Benoite Danesi";;20200;Bastia;Haute-Corse;Corse;Corse;06/06/2020;06/06/2020
AF.35063;"sciences économiques et sociales / humanités, littérature et philosophie / sciences de l'ingénieur / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11980;0270003G;"Lycée Augustin Fresnel";"14 rue Kleber Mercier";;27301;Bernay;Eure;Normandie;Normandie;06/06/2020;02/02/2021
AF.35071;"sciences économiques et sociales / LLCER espagnol / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.2014;0590207E;"Lycée Louis Pasteur";"151 boulevard Louise Michel";"BP 9";59490;Somain;Nord;Hauts-de-France;Lille;06/06/2020;16/02/2026
AF.35086;"sciences économiques et sociales / biologie-écologie / mathématiques / physique-chimie";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.15445;9720616M;"LEGTA Croix-Rivail";"Quartier Croix-Rivail, Bois Rouge";;97224;Ducos;Martinique;Martinique;Martinique;06/06/2020;06/06/2020
