"Identifiant action de formation";"Enseignements de spécialité de classe de 1ère générale";"Identifiant et fiche onisep lieu de cours";"UAI lieu de cours";"Libellé lieu de cours";"Adresse lieu de cours";"Boîte postale lieu de cours";"Code postal lieu de cours";"Commune lieu de cours";"Département lieu de cours";"Région lieu de cours";"Académie lieu de cours";"AF date création";"AF date de modification"
AF.92580;"sciences économiques et sociales / arts : théâtre / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.3768;0520844K;"Lycée polyvalent Edmé Bouchardon";"16 rue Youri Gagarine";"BP 2085";52903;Chaumont;Haute-Marne;"Grand Est";Reims;06/06/2020;08/02/2022
AF.92589;"sciences économiques et sociales / arts : histoire des arts / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / éducation physique, pratiques et culture sportives / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.776;0801700N;"Lycée Jean-Baptiste Delambre";"3 rue Montaigne, Cité scolaire";;80080;Amiens;Somme;Hauts-de-France;Amiens;06/06/2020;12/02/2026
AF.92599;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / littérature et langues et cultures de l'Antiquité / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / LLCER espagnol / éducation physique, pratiques et culture sportives";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.19509;0641839B;"Lycée Jacques Monod";"10 rue du Parvis";"BP 40485";64238;Lescar;Pyrénées-Atlantiques;Nouvelle-Aquitaine;Bordeaux;06/06/2020;12/01/2022
AF.92609;"sciences économiques et sociales / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais / sciences de l'ingénieur / LLCER espagnol";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.11945;0120061B;"Lycée général et technologique privé Saint-Joseph";"24 avenue Étienne Soulié";;12200;Villefranche-de-Rouergue;Aveyron;Occitanie;Toulouse;06/06/2020;15/05/2025
AF.92635;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / numérique et sciences informatiques / physique-chimie / sciences de la vie et de la Terre";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.12809;0132810J;"Lycée Sainte-Marie";"13 rue Jeu de Ballon";;13400;Aubagne;Bouches-du-Rhône;"Provence-Alpes-Côte d'Azur";Aix-Marseille;06/06/2020;06/06/2020
AF.92651;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / histoire-géographie, géopolitique et sciences politiques / numérique et sciences informatiques";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13241;0900002N;"Lycée général et technologique Condorcet";"13 avenue Roosevelt";"BP 537";90016;Belfort;Territoire-de-Belfort;Bourgogne-Franche-Comté;Besançon;06/06/2020;16/02/2024
AF.92664;"sciences économiques et sociales / arts : arts plastiques / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / humanités, littérature et philosophie / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.4336;0430065M;"Lycée général et technologique privé Saint-Gabriel";"16 bis rue Traversière";;43200;Yssingeaux;Haute-Loire;Auvergne-Rhône-Alpes;Clermont-Ferrand;06/06/2020;05/02/2021
AF.92665;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / mathématiques / physique-chimie / sciences de la vie et de la Terre / langues, littératures et cultures étrangères et régionales";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.1651;0921594H;"Lycée Michel-Ange";"2 avenue Georges Pompidou";;92390;Villeneuve-la-Garenne;Hauts-de-Seine;Ile-de-France;Versailles;06/06/2020;06/06/2020
AF.92677;"sciences économiques et sociales / arts : arts plastiques / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.18942;0440163N;"Lycée général et technologique privé Saint-Stanislas";"2 rue Saint-Stanislas";;44000;Nantes;Loire-Atlantique;"Pays de la Loire";Nantes;06/06/2020;12/02/2021
AF.92688;"sciences économiques et sociales / arts : histoire des arts / arts : théâtre / humanités, littérature et philosophie / histoire-géographie, géopolitique et sciences politiques / LLCER anglais / mathématiques / physique-chimie / sciences de la vie et de la Terre / LLCER anglais - monde contemporain";https://www.onisep.fr/http/redirection/etablissement/slug/ENS.13774;0670081Z;"Lycée International les Pontonniers";"1 rue des Pontonniers";"BP 80041";67017;Strasbourg;Bas-Rhin;"Grand Est";Strasbourg;06/06/2020;02/02/2026
